id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,euphoric|uplifting
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2010,introspective|serene
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive|triumphant
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,serene|introspective
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,euphoric|energizing
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,44,2010,dreamy|serene
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2000,nostalgic|romantic
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2010,melancholic|nostalgic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,63,2020,introspective|serene
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020,euphoric|uplifting
11,Velvet Uprising,The Brass Roots,reggae,upbeat,0.68,95,0.85,0.80,0.44,61,2000,uplifting|romantic
12,Glass Sonata No. 3,Elara Voss,classical,calm,0.18,58,0.72,0.22,0.97,48,1990,serene|introspective
13,Neon Labyrinth,Circuit Echo,electronic,energetic,0.88,140,0.55,0.91,0.03,81,2010,euphoric|energizing
14,Dust and Pines,River Hollow,folk,nostalgic,0.31,74,0.78,0.39,0.93,55,2000,nostalgic|melancholic
15,Golden Meridian,Solace,r&b,romantic,0.55,88,0.80,0.67,0.41,77,2010,romantic|dreamy
16,Iron Cathedral,Blackforge,metal,intense,0.96,168,0.22,0.58,0.04,69,2000,aggressive|triumphant
17,Two Step Fever,Cactus Jones,country,happy,0.63,104,0.88,0.74,0.76,66,2010,uplifting|nostalgic
18,Rainy Seoul,Juniper Beats,hip-hop,moody,0.58,86,0.44,0.76,0.29,73,2020,melancholic|introspective
19,Tide and Ember,Mara Ashton,indie folk,sad,0.25,66,0.38,0.31,0.91,57,2010,melancholic|nostalgic
20,Parallel Sun,Drift Module,dream pop,dreamy,0.47,100,0.74,0.55,0.52,62,2020,dreamy|introspective
